,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
24,2020-04-04,20505,666,6415,Switzerland,899.0,0.04585331021115985,75.0,0.12690355329949238,918.4285714285714,57.42857142857143
25,2020-04-05,21100,715,6415,Switzerland,595.0,0.029017312850524262,49.0,0.07357357357357357,895.8571428571429,59.285714285714285
26,2020-04-06,21657,765,8056,Switzerland,557.0,0.026398104265402844,50.0,0.06993006993006994,819.2857142857143,58.0
27,2020-04-07,22253,821,8704,Switzerland,596.0,0.02751997044835388,56.0,0.07320261437908497,806.8571428571429,55.42857142857143
28,2020-04-08,23280,895,9800,Switzerland,1027.0,0.04615108075315688,74.0,0.09013398294762484,787.4285714285714,58.142857142857146
29,2020-04-09,24051,948,10600,Switzerland,771.0,0.03311855670103093,53.0,0.05921787709497207,746.2857142857143,58.857142857142854
20,2020-04-10,24551,1002,11100,Switzerland,500.0,0.02078915637603426,54.0,0.056962025316455694,706.4285714285714,58.714285714285715
0,2020-03-13,504,1,6,Austria,,,,,,
1,2020-03-14,655,1,6,Austria,151.0,0.2996031746031746,0.0,0.0,,
2,2020-03-15,860,1,6,Austria,205.0,0.31297709923664124,0.0,0.0,,
3,2020-03-16,1018,3,6,Austria,158.0,0.18372093023255814,2.0,2.0,,
4,2020-03-17,1332,3,1,Austria,314.0,0.30844793713163066,0.0,0.0,,
5,2020-03-18,1646,4,9,Austria,314.0,0.23573573573573572,1.0,0.3333333333333333,,
6,2020-03-19,2013,6,9,Austria,367.0,0.2229647630619684,2.0,0.5,,
7,2020-03-20,2388,6,9,Austria,375.0,0.18628912071535023,0.0,0.0,269.14285714285717,0.7142857142857143
8,2020-03-21,2814,8,9,Austria,426.0,0.17839195979899497,2.0,0.3333333333333333,308.42857142857144,1.0
9,2020-03-22,3582,16,9,Austria,768.0,0.27292110874200426,8.0,1.0,388.85714285714283,2.142857142857143
10,2020-03-23,4474,21,9,Austria,892.0,0.24902289223897264,5.0,0.3125,493.7142857142857,2.5714285714285716
11,2020-03-24,5283,28,9,Austria,809.0,0.18082253017434063,7.0,0.3333333333333333,564.4285714285714,3.5714285714285716
12,2020-03-25,5588,30,9,Austria,305.0,0.05773234904410373,2.0,0.07142857142857142,563.1428571428571,3.7142857142857144
13,2020-03-26,6909,49,112,Austria,1321.0,0.23639942734430924,19.0,0.6333333333333333,699.4285714285714,6.142857142857143
14,2020-03-27,7657,58,225,Austria,748.0,0.10826458242871617,9.0,0.1836734693877551,752.7142857142857,7.428571428571429
15,2020-03-28,8271,68,225,Austria,614.0,0.08018806321013451,10.0,0.1724137931034483,779.5714285714286,8.571428571428571
16,2020-03-29,8788,86,479,Austria,517.0,0.06250755652279047,18.0,0.2647058823529412,743.7142857142857,10.0
17,2020-03-30,9618,108,636,Austria,830.0,0.094446973145198,22.0,0.2558139534883721,734.8571428571429,12.428571428571429
18,2020-03-31,10180,128,1095,Austria,562.0,0.058432106467040966,20.0,0.18518518518518517,699.5714285714286,14.285714285714286
19,2020-04-01,10711,146,1436,Austria,531.0,0.05216110019646365,18.0,0.140625,731.8571428571429,16.571428571428573
22,2020-04-02,11129,158,1749,Austria,418.0,0.039025301092334985,12.0,0.0821917808219178,602.8571428571429,15.571428571428571
23,2020-04-03,11524,168,2022,Austria,395.0,0.035492856501033336,10.0,0.06329113924050633,552.4285714285714,15.714285714285714
24,2020-04-04,11781,186,2507,Austria,257.0,0.022301284276292955,18.0,0.10714285714285714,501.42857142857144,16.857142857142858
25,2020-04-05,12051,204,2998,Austria,270.0,0.02291825821237586,18.0,0.0967741935483871,466.14285714285717,16.857142857142858
26,2020-04-06,12297,220,3463,Austria,246.0,0.020413243714214588,16.0,0.0784313725490196,382.7142857142857,16.0
27,2020-04-07,12639,243,4046,Austria,342.0,0.027811661380824592,23.0,0.10454545454545454,351.2857142857143,16.428571428571427
